
"KS402EW - Tenure"
"ONS Crown Copyright Reserved [from Nomis on 25 July 2018]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"postcode sector","All households","Owned: Owned outright","Owned: Owned with a mortgage or loan","Social rented: Rented from council (Local Authority)","Social rented: Other","Private rented: Private landlord or letting agency","Private rented: Other"
"ST17 9",6744,1766,2253,635,1395,510,58
"ST18 0",4162,1831,1556,57,199,364,67
"ST18 9",2283,1160,752,58,73,183,20
"ST19 5",3535,1455,1249,64,382,291,31
"ST19 9",2684,1184,814,8,316,270,28
"ST2  0",4453,675,702,1626,1000,288,40
"ST2  7",3551,1619,1345,193,10,302,31
"ST2  8",3117,696,643,1097,441,142,24
"ST2  9",3832,1472,1257,535,193,276,43
"ST20 0",2853,1172,1097,108,135,249,38
"ST21 6",2379,1025,798,85,119,263,43
"ST3  1",2629,670,956,517,137,249,31
"ST3  2",3446,1226,997,822,62,226,35
"ST3  3",3562,706,769,1719,27,233,27
"ST3  4",3596,1178,1247,356,168,526,31
"ST3  5",5702,1939,2477,692,99,353,51
"ST3  6",4247,1336,1029,1183,217,341,40
"ST3  7",5410,1972,2160,723,137,312,38
"ST4  1",735,84,101,142,101,271,17
"ST4  2",2664,561,471,333,231,913,95
"ST4  3",3356,820,1084,463,124,755,54
"ST4  4",3038,770,980,445,118,625,32
"ST4  5",3558,926,1095,317,470,648,43
"ST4  6",3362,955,1163,517,88,544,49
"ST4  7",3098,758,955,247,223,757,66
"ST4  8",5024,2287,2141,141,39,319,42
"ST5  0",4225,1396,1517,165,548,488,39
"ST5  1",1565,331,319,102,257,494,31
"ST5  2",4293,1381,1093,381,722,512,69
"ST5  3",4187,1727,1379,246,521,226,28
"ST5  4",2735,1236,1045,91,155,149,16
"ST5  5",1178,564,351,18,104,71,42
"ST5  6",3835,1179,1115,401,653,385,44
"ST5  7",4675,1043,1769,513,745,484,45
"ST5  8",4900,1753,1899,272,432,431,57
"ST5  9",3315,977,955,397,615,261,39
"ST6  1",3439,881,958,753,103,615,45
"ST6  2",1218,288,273,113,146,329,21
"ST6  3",1362,228,252,338,167,310,25
"ST6  4",2105,429,575,203,266,555,21
"ST6  5",4326,987,1393,860,249,709,52
"ST6  6",5688,1612,1834,1282,179,635,40
"ST6  7",4033,1317,1250,841,290,236,28
"ST6  8",5414,1810,1788,1137,87,464,45
"ST7  1",4736,1659,1395,370,713,475,46
"ST7  2",5235,2267,1825,115,469,440,45
"ST7  3",3259,1512,1191,37,212,238,27
"ST7  4",6162,2410,2692,168,375,394,55
"ST7  8",3448,1322,1229,204,351,251,34
"ST8  6",4844,1748,1742,325,470,441,52
"ST8  7",3909,1970,1416,107,102,232,39
"ST9  0",2614,1439,948,23,42,107,22
"ST9  9",2312,1358,773,14,25,108,12
"SW10 0",4442,871,622,1062,610,1082,63
"SW10 9",4918,1311,885,334,316,1827,95
"SW11 1",4391,632,1146,155,683,1626,80
"SW11 2",6288,676,1195,2101,474,1592,71
"SW11 3",5428,923,1192,989,399,1619,92
"SW11 4",3937,933,942,302,186,1335,82
"SW11 5",7648,1001,1794,1741,967,1924,108
"SW11 6",4228,1222,1637,106,204,958,56
"SW12 0",3227,578,1069,253,435,805,45
"SW12 8",5267,1222,1615,270,484,1486,74
"SW12 9",4950,757,1438,278,412,1892,75
"SW13 0",2969,947,963,111,259,607,36
"SW13 8",874,283,245,8,25,280,11
"SW13 9",3016,947,708,213,508,550,37
"SW14 7",3138,920,1038,101,391,602,40
"SW14 8",3890,1138,1412,98,295,847,53
"SW15 1",4349,1165,1297,263,163,1322,81
"SW15 2",4834,1011,1209,201,141,1994,147
"SW15 3",4872,1056,1311,904,141,1254,64
"SW15 4",3912,335,462,1899,208,904,35
"SW15 5",3835,936,926,951,148,651,72
"SW15 6",3762,1060,929,252,111,1237,98
"SW16 1",4709,730,1254,459,470,1654,77
"SW16 2",6996,958,1919,812,558,2502,70
"SW16 3",3373,1014,1073,441,176,562,22
"SW16 4",4880,1182,1681,479,179,1153,66
"SW16 5",6471,1351,2108,295,609,1894,68
"SW16 6",5469,1014,1824,187,366,1877,67
"SW17 0",6034,813,1424,705,838,2016,108
"SW17 6",869,98,278,9,25,413,14
"SW17 7",5006,1220,1482,142,262,1719,86
"SW17 8",7866,1521,2095,823,705,2524,98
"SW17 9",6088,1126,1809,291,543,2053,105
"SW18 1",4979,977,1530,222,235,1692,138
"SW18 2",4219,732,1490,271,414,1135,65
"SW18 3",5436,1159,2091,351,340,1338,82
"SW18 4",4689,510,1239,754,465,1440,72
"SW18 5",5341,1319,1988,309,117,1412,78
"SW19 1",4780,823,1438,112,452,1830,72
"SW19 2",5278,837,1629,265,517,1823,89
"SW19 3",4267,1459,1479,41,141,1031,53
"SW19 4",3066,916,688,39,267,1026,58
"SW19 5",1672,694,456,63,30,375,13
"SW19 6",4911,863,1147,1228,83,1430,78
"SW19 7",2656,808,702,22,132,912,37
"SW19 8",6265,1481,2172,115,421,1817,69
"SW1A 1",149,46,14,0,1,65,7
"SW1E 5",107,43,23,0,1,33,1
"SW1E 6",203,62,42,1,13,50,19
"SW1H 0",219,37,29,4,31,94,7
"SW1H 9",208,59,30,1,5,90,6
"SW1P 1",1238,321,171,26,236,299,122
"SW1P 2",1774,293,132,43,684,515,37
"SW1P 3",334,100,36,2,6,116,21
"SW1P 4",3367,559,456,830,504,805,74
"SW1V 1",1044,204,124,19,269,340,27
"SW1V 2",3168,621,497,531,426,946,58
"SW1V 3",4370,601,369,875,769,1574,87
"SW1V 4",3220,585,465,370,786,880,70
"SW1W 0",303,49,20,2,32,140,39
"SW1W 8",3000,507,285,254,759,935,61
"SW1W 9",1115,249,121,164,42,430,25
"SW1X 0",1056,277,105,0,26,508,17
"SW1X 7",467,144,67,2,24,181,9
"SW1X 8",755,229,75,7,18,302,20
"SW1X 9",912,213,70,0,71,442,28
"SW1Y 4",165,28,10,0,8,90,15
"SW1Y 6",161,30,8,0,2,98,14
"SW2  1",3244,276,539,749,507,938,61
"SW2  2",5072,578,1196,1035,832,1241,71
"SW2  3",5654,590,1302,1248,928,1400,68
"SW2  4",4922,560,1192,550,821,1555,96
"SW2  5",4271,441,989,690,555,1442,68
"SW20 0",3704,1193,1236,146,266,766,50
"SW20 8",4679,1327,1600,37,207,1378,70
"SW20 9",3246,1110,1279,62,198,509,34
"SW3  1",677,143,66,0,22,385,16
"SW3  2",2294,597,244,163,154,958,54
"SW3  3",2677,612,188,108,563,1056,57
"SW3  4",2021,789,309,13,136,635,50
"SW3  5",2691,851,336,329,244,766,50
"SW3  6",1395,489,183,89,103,454,27
"SW4  0",2959,499,723,362,188,1011,73
"SW4  6",4473,390,889,801,889,1337,62
"SW4  7",3656,294,674,890,347,1319,52
"SW4  8",3031,342,505,828,602,668,43
"SW4  9",2951,562,862,368,153,925,46
"SW5  0",3583,820,562,71,348,1589,81
"SW5  9",4739,715,638,86,1129,1964,69
"SW6  1",3480,412,471,439,823,1154,66
"SW6  2",5495,809,1035,881,980,1380,114
"SW6  3",3830,1116,866,451,199,1018,58
"SW6  4",3307,697,686,392,274,1061,65
"SW6  5",3213,610,685,569,152,1073,53
"SW6  6",4911,1123,1304,434,342,1520,70
"SW6  7",4349,708,819,890,511,1260,73
"SW7  1",1324,497,146,8,44,441,57
"SW7  2",888,319,126,3,11,334,23
"SW7  3",2095,563,224,10,167,966,76
"SW7  4",2502,560,341,18,171,1259,43
"SW7  5",2536,700,367,14,68,1167,52
"SW8  1",4894,512,778,889,1013,1502,100
"SW8  2",4593,386,687,1170,927,1083,79
"SW8  3",2896,311,581,572,527,823,39
"SW8  4",3943,345,599,1177,356,1116,47
"SW8  5",187,50,32,14,15,65,5
"SW9  0",4919,371,879,754,1254,1465,99
"SW9  6",2538,112,338,1258,389,372,28
"SW9  7",3654,117,350,1941,662,448,39
"SW9  8",2509,151,322,392,952,575,40
"SW9  9",5034,407,833,608,1274,1612,117
"SY1  1",861,194,138,5,60,418,16
"SY1  2",3337,844,1039,167,396,767,59
"SY1  3",3411,1076,1223,272,504,262,22
"SY1  4",3801,1020,1441,331,541,348,47
"SY10 0",966,477,257,76,14,91,27
"SY10 7",1565,647,497,174,50,137,20
"SY10 8",1479,737,464,90,15,127,18
"SY10 9",1980,845,637,155,73,202,15
"SY11 1",2831,906,785,368,181,517,33
"SY11 2",4687,1499,1596,479,269,688,65
"SY11 3",2290,867,740,345,84,158,27
"SY11 4",1792,713,632,145,47,198,30
"SY12 0",1934,702,533,40,240,337,30
"SY12 9",1469,668,498,13,82,146,21
"SY13 1",4217,1371,1301,91,567,746,52
"SY13 2",1642,799,550,29,90,132,18
"SY13 3",1197,497,388,71,52,145,17
"SY13 4",1102,419,337,12,69,204,22
"SY14 7",1015,477,335,28,27,104,10
"SY14 8",1388,525,406,41,126,216,25
"SY15 6",2195,986,593,131,64,313,49
"SY16 1",2776,539,664,824,373,284,39
"SY16 2",2080,813,475,162,162,382,53
"SY16 3",1108,534,354,41,18,133,15
"SY16 4",1052,552,268,61,14,109,17
"SY17 5",1540,765,388,124,41,170,16
"SY18 6",2126,993,451,209,72,315,35
"SY19 7",503,282,119,28,9,42,5
"SY2  5",4930,1606,1639,340,771,399,41
"SY2  6",2627,1043,811,58,287,350,35
"SY20 8",2067,880,483,216,117,265,40
"SY20 9",1074,555,235,54,42,119,34
"SY21 0",1156,543,314,92,30,136,21
"SY21 7",2661,796,613,280,419,424,39
"SY21 8",1960,879,565,91,25,309,37
"SY21 9",1190,577,329,42,18,157,25
"SY22 5",868,402,202,52,58,118,12
"SY22 6",3146,1482,956,160,64,384,44
"SY23 1",3036,770,487,169,382,1079,73
"SY23 2",1456,286,121,39,150,782,45
"SY23 3",3709,1518,1058,123,277,561,93
"SY23 4",2225,1090,629,20,71,314,44
"SY23 5",1209,601,356,14,36,157,24
"SY24 5",2025,907,562,42,112,339,27
"SY25 6",1969,981,505,41,61,283,37
"SY3  0",2125,1083,759,23,81,133,22
"SY3  5",1932,574,763,21,153,356,35
"SY3  6",1204,511,445,7,13,200,13
"SY3  7",3518,1284,1119,68,326,584,77
"SY3  8",3861,1598,1234,48,237,602,87
"SY3  9",2038,804,644,111,328,116,12
"SY4  1",1168,424,409,51,58,163,28
"SY4  2",1006,428,393,5,66,79,12
"SY4  3",1662,695,524,25,133,210,28
"SY4  4",2304,906,682,29,206,287,139
"SY4  5",3708,1447,1216,63,359,488,77
"SY5  0",2682,1255,797,77,200,242,39
"SY5  6",1679,580,477,57,171,303,26
"SY5  7",1156,501,331,15,73,183,17
"SY5  8",1303,592,373,60,125,91,30
"SY5  9",1888,711,659,57,179,200,23
"SY6  6",1913,937,441,16,203,227,23
"SY6  7",1026,621,249,6,51,72,6
"SY7  0",1545,752,307,7,128,267,21
"SY7  8",1620,850,346,16,94,228,26
"SY7  9",2050,805,466,23,288,343,35
"SY8  1",4051,1691,867,77,722,540,58
"SY8  2",1502,640,336,14,113,251,34
"SY8  3",1410,687,381,7,114,165,25
"SY8  4",1494,795,399,1,91,130,29
"SY9  5",1251,549,239,19,159,191,39
"TA1  1",2789,760,730,68,171,942,60
"TA1  2",5576,1152,1738,1522,326,686,53
"TA1  3",3528,1264,1032,204,182,695,70
"TA1  4",2718,1224,785,69,63,455,64
"TA1  5",2810,1250,894,282,89,221,32
"TA10 0",1659,774,518,34,119,142,16
"TA10 9",2280,1007,721,62,157,254,31
"TA11 6",2794,1274,908,68,175,276,36
"TA11 7",1182,535,324,38,116,100,21
"TA12 6",2772,1055,949,115,273,269,42
"TA13 5",1819,862,489,62,179,139,31
"TA14 6",1299,490,422,70,141,113,25
"TA15 6",365,138,99,19,58,33,6
"TA16 5",836,339,282,27,85,72,11
"TA17 8",229,132,48,1,11,27,5
"TA18 7",1800,791,513,42,132,251,15
"TA18 8",2719,1082,858,119,284,275,33
"TA19 0",2629,1056,784,113,310,273,40
"TA19 9",2519,1090,842,41,172,289,41
"TA2  6",3291,1053,1272,246,134,447,92
"TA2  7",4415,1079,1218,1095,244,625,51
"TA2  8",3218,1072,1197,385,87,375,48
"TA20 1",3410,1288,1130,159,381,348,33
"TA20 2",3336,1233,978,207,488,312,45
"TA20 3",1218,623,340,27,49,127,22
"TA20 4",964,458,251,13,90,100,12
"TA21 0",1658,653,564,86,76,227,24
"TA21 8",3114,1043,941,429,169,428,34
"TA21 9",2898,1056,1036,340,107,249,37
"TA22 9",1268,578,247,19,211,140,32
"TA23 0",2550,1028,680,36,402,316,35
"TA24 5",2611,1212,562,13,181,524,58
"TA24 6",2547,1084,595,43,360,341,62
"TA24 7",809,391,134,5,112,106,21
"TA24 8",2407,1185,403,22,403,296,49
"TA3  5",2448,1193,819,114,30,209,43
"TA3  6",1961,849,617,117,83,200,21
"TA3  7",1671,877,509,65,26,138,20
"TA4  1",2136,754,847,127,66,265,30
"TA4  2",1825,801,540,143,55,203,34
"TA4  3",2244,903,718,172,87,278,34
"TA4  4",1787,828,345,28,276,234,35
"TA5  1",2314,1027,640,101,138,287,44
"TA5  2",1996,838,660,108,119,165,45
"TA6  3",4351,841,1238,624,419,1058,83
"TA6  4",5259,1345,1815,800,293,809,98
"TA6  5",2724,848,914,58,125,692,57
"TA6  6",4555,1317,1702,557,305,513,56
"TA6  7",2842,1330,1062,62,89,252,25
"TA7  0",2010,962,701,64,39,170,23
"TA7  8",2542,1130,920,174,77,170,29
"TA7  9",1687,836,573,74,38,119,18
"TA8  1",3429,1335,1128,173,92,592,47
"TA8  2",4294,2131,1318,56,126,539,62
"TA9  3",3571,1129,1050,472,363,425,49
"TA9  4",1639,757,611,63,10,148,22
"TD12 4",528,184,82,10,29,146,13
"TD15 1",2535,854,615,117,381,450,56
"TD15 2",5194,1789,1353,306,826,679,81
"TF1  1",1898,425,492,234,292,389,29
"TF1  2",2854,883,932,303,355,297,28
"TF1  3",3315,1285,1204,152,265,314,51
"TF1  5",3352,665,1252,369,450,524,33
"TF1  6",3615,861,1528,254,385,482,42
"TF10 7",4389,1591,1446,195,385,639,52
"TF10 8",1462,638,554,32,65,115,24
"TF10 9",1330,599,484,34,63,98,22
"TF11 8",2762,830,846,404,141,405,51
"TF11 9",1554,593,472,83,50,276,27
"TF12 5",2419,850,742,338,79,314,35
"TF13 6",1591,677,389,161,68,225,29
"TF2  0",1141,294,407,136,143,129,10
"TF2  6",2921,955,995,201,322,379,33
"TF2  7",3311,844,985,398,521,392,115
"TF2  8",3940,1058,1662,312,406,364,91
"TF2  9",4367,1269,1836,180,410,557,43
"TF3  1",4256,855,1560,380,609,746,55
"TF3  2",3431,624,1259,382,475,589,56
"TF3  5",1498,274,762,110,102,207,19
"TF4  2",3689,665,1330,505,631,449,42
"TF4  3",3736,835,1487,267,582,441,44
"TF5  0",1968,611,1047,35,51,194,15
"TF6  5",567,222,207,19,22,81,5
"TF6  6",1435,567,489,49,86,179,20
"TF7  4",2463,693,684,261,299,448,30
"TF7  5",4698,1031,1354,578,730,875,51
"TF8  7",1273,462,470,43,57,206,20
"TF9  1",2792,985,790,96,418,401,47
"TF9  2",2182,852,741,51,167,204,126
"TF9  3",3305,1145,1182,53,342,440,50
"TF9  4",1918,867,734,22,104,133,21
"TN1  1",1980,372,522,5,69,958,34
"TN1  2",3559,594,1057,45,503,1234,69
"TN10 3",3235,1030,986,98,844,175,32
"TN10 4",3384,1503,1029,74,597,102,14
"TN11 0",1751,598,499,28,326,202,41
"TN11 8",1440,514,440,18,172,230,17
"TN11 9",2236,994,877,30,132,119,28
"TN12 0",2311,901,940,20,99,269,31
"TN12 5",1323,502,484,23,165,102,22
"TN12 6",4072,1469,1547,56,557,339,39
"TN12 7",1122,491,388,5,88,118,8
"TN12 8",914,355,337,7,92,92,13
"TN12 9",1839,624,708,45,164,207,34
"TN13 1",2098,757,614,8,276,333,40
"TN13 2",3522,1358,1315,28,233,431,31
"TN13 3",4219,1564,1374,37,430,668,44
"TN14 5",2735,1071,890,29,374,229,26
"TN14 6",1382,524,457,11,156,157,28
"TN14 7",2016,877,733,9,139,188,34
"TN15 0",1664,639,542,19,177,178,31
"TN15 6",3962,1798,1478,52,263,219,39
"TN15 7",1356,508,465,32,195,110,17
"TN15 8",2072,841,765,24,193,185,24
"TN15 9",708,295,313,6,24,49,4
"TN16 1",2138,743,724,33,274,264,28
"TN16 2",974,412,381,44,11,78,16
"TN16 3",4654,1860,2175,16,201,245,59
"TN17 1",915,303,290,12,141,120,13
"TN17 2",1387,547,454,10,164,149,22
"TN17 3",1846,651,506,24,377,174,22
"TN17 4",1455,574,383,104,99,182,40
"TN18 4",1676,556,590,19,239,215,25
"TN18 5",992,399,344,14,106,89,16
"TN19 7",2032,823,782,30,161,174,22
"TN2  3",4198,1184,1264,128,1064,437,42
"TN2  4",3437,1304,1262,33,431,321,30
"TN2  5",4185,1530,1380,37,513,633,32
"TN20 6",1608,734,530,50,54,162,16
"TN21 0",2391,975,880,153,73,220,29
"TN21 8",3107,1243,1175,121,18,447,37
"TN21 9",1222,587,451,12,22,103,15
"TN22 1",2729,859,1044,264,106,367,26
"TN22 2",1424,659,523,86,52,69,5
"TN22 3",1674,765,602,49,41,153,19
"TN22 4",1379,610,511,78,23,99,13
"TN22 5",3513,1164,1583,105,143,394,35
"TN23 1",777,141,217,62,86,213,17
"TN23 3",5067,1034,2595,147,173,822,94
"TN23 4",2089,450,709,428,94,350,23
"TN23 5",5640,1061,2170,816,496,835,63
"TN23 6",650,153,195,180,10,86,11
"TN23 7",1219,326,439,108,50,243,23
"TN24 0",5744,1558,2191,650,293,813,94
"TN24 8",2528,720,811,81,255,545,69
"TN24 9",4635,1514,1710,547,224,493,47
"TN25 4",1854,651,844,43,39,210,13
"TN25 5",1583,665,441,156,36,222,20
"TN25 6",2048,831,790,107,30,213,28
"TN25 7",852,329,349,42,30,61,8
"TN26 1",1084,413,426,129,18,66,8
"TN26 2",1423,571,517,131,29,124,21
"TN26 3",2070,991,633,171,25,165,26
"TN27 0",1750,725,573,188,64,135,19
"TN27 8",1570,692,511,133,57,104,23
"TN27 9",1912,854,644,48,119,170,31
"TN28 8",3623,1673,1168,147,128,374,66
"TN29 0",3349,1701,971,231,55,259,73
"TN29 9",2668,1003,847,276,59,376,48
"TN3  0",2187,1017,741,12,183,167,30
"TN3  8",667,198,236,5,80,117,16
"TN3  9",1719,688,636,67,35,193,21
"TN30 6",2546,1211,722,164,91,268,22
"TN30 7",1567,696,418,226,75,103,12
"TN31 6",2855,1386,813,50,279,220,32
"TN31 7",3359,1339,809,114,469,441,91
"TN32 5",2052,823,723,34,180,189,42
"TN33 0",3534,1542,1074,84,339,389,46
"TN33 9",1766,709,614,82,100,171,43
"TN34 1",3157,695,572,14,201,1566,59
"TN34 2",5348,2388,1760,60,476,555,58
"TN34 3",5530,1162,1265,157,889,1864,110
"TN35 4",2961,1550,844,50,260,170,26
"TN35 5",4420,1268,1518,99,519,903,51
"TN36 4",1122,560,292,16,123,86,18
"TN37 6",5323,908,940,54,735,2490,120
"TN37 7",4283,1530,1729,58,314,515,75
"TN38 0",6808,1734,1761,32,385,2670,130
"TN38 8",1904,572,886,15,94,258,31
"TN38 9",4197,808,1177,251,1511,348,37
"TN39 3",5129,2693,1215,22,228,823,65
"TN39 4",4552,2562,1229,50,270,360,28
"TN39 5",2354,707,630,154,503,281,27
"TN4  0",3619,1196,1319,34,572,391,43
"TN4  8",3938,1226,1193,82,697,632,40
"TN4  9",5665,1513,2205,46,630,1045,54
"TN40 1",4028,1733,768,13,124,1237,71
"TN40 2",4427,1829,1385,66,452,572,47
"TN5  6",2023,830,716,138,67,204,23
"TN5  7",1519,564,590,26,150,134,13
"TN6  1",3389,1514,1261,60,113,319,49
"TN6  2",4202,1594,1660,205,143,428,41
"TN6  3",2298,879,928,191,67,160,26
"TN7  4",893,350,323,56,30,90,18
"TN8  5",2236,739,713,89,358,215,13
"TN8  6",2035,694,771,39,229,207,17
"TN8  7",1018,376,367,7,89,124,10
"TN9  1",2838,802,858,45,314,605,84
"TN9  2",4422,1183,1628,104,693,624,60
"TQ1  1",3865,1037,1180,12,154,1348,96
"TQ1  2",2370,1069,510,1,75,636,33
"TQ1  3",4225,1511,1182,14,197,1168,77
"TQ1  4",4461,1302,1394,32,370,1118,101
"TQ10 9",1703,743,467,40,178,198,16
"TQ11 0",1785,604,486,77,208,316,42
"TQ12 1",4766,1560,1725,121,454,748,77
"TQ12 2",2470,673,801,34,249,585,53
"TQ12 3",4463,1644,1787,61,309,524,68
"TQ12 4",3701,1406,1275,202,375,324,48
"TQ12 5",3844,1818,1350,68,152,349,43
"TQ12 6",3134,1240,1237,44,123,393,41
"TQ13 0",2529,917,977,61,173,315,41
"TQ13 7",2366,926,697,72,182,373,54
"TQ13 8",1709,785,424,40,116,249,49
"TQ13 9",3506,1829,1021,38,158,352,39
"TQ14 0",855,494,206,4,10,114,17
"TQ14 8",3683,1648,915,33,175,783,59
"TQ14 9",4406,1838,1477,111,323,487,58
"TQ2  5",2525,453,444,5,213,1304,47
"TQ2  6",4366,1712,1560,22,199,770,61
"TQ2  7",4529,1259,1694,71,510,802,89
"TQ2  8",3169,1032,1032,126,568,309,52
"TQ3  1",3560,1824,1360,11,45,237,31
"TQ3  2",3765,1481,1123,23,166,840,76
"TQ3  3",5882,1649,1907,110,831,1152,90
"TQ4  5",2754,927,772,11,239,701,71
"TQ4  6",2036,1024,375,2,26,559,29
"TQ4  7",3766,1756,1309,19,157,368,39
"TQ5  0",2650,1327,816,16,166,244,35
"TQ5  8",2437,1162,580,8,127,465,58
"TQ5  9",3816,1570,1104,31,252,696,75
"TQ6  0",1422,784,277,10,86,162,57
"TQ6  9",2527,933,577,110,447,345,51
"TQ7  1",2727,1013,655,101,420,413,52
"TQ7  2",1834,1024,419,25,106,193,27
"TQ7  3",1742,899,404,21,150,197,32
"TQ7  4",1366,663,350,15,116,170,26
"TQ8  8",1035,542,205,19,137,82,23
"TQ9  5",3848,1389,850,94,699,653,53
"TQ9  6",2013,1002,526,15,145,243,37
"TQ9  7",1889,852,520,27,97,280,41
"TR1  1",3909,1361,1085,580,234,491,46
"TR1  2",1521,616,382,35,98,302,29
"TR1  3",3822,1259,1008,484,214,695,79
"TR10 8",3146,899,926,357,168,680,45
"TR10 9",1213,523,408,30,46,132,52
"TR11 2",3528,1023,830,867,152,501,64
"TR11 3",1956,582,430,26,59,744,63
"TR11 4",3194,1470,873,99,132,496,53
"TR11 5",3963,1924,1090,166,156,460,71
"TR12 6",1800,924,383,41,141,212,42
"TR12 7",2095,1018,526,58,172,213,56
"TR13 0",1712,765,635,14,38,193,32
"TR13 8",4272,1346,1332,122,430,652,309
"TR13 9",2432,1105,695,61,200,280,36
"TR14 0",1981,892,700,19,31,262,39
"TR14 7",3713,1312,993,282,597,392,52
"TR14 8",3884,1410,1111,79,198,950,81
"TR14 9",989,401,333,46,74,111,11
"TR15 1",2661,732,775,234,412,417,35
"TR15 2",2677,889,914,22,124,624,53
"TR15 3",3374,1188,1097,105,418,441,54
"TR16 4",2337,1034,716,80,182,257,30
"TR16 5",2169,979,678,45,163,235,34
"TR16 6",1524,652,578,27,52,159,26
"TR17 0",684,262,118,20,119,128,10
"TR18 2",2619,750,601,95,513,546,62
"TR18 3",2781,936,621,80,626,430,34
"TR18 4",2439,1000,455,44,345,492,44
"TR18 5",1638,698,394,34,186,242,32
"TR19 6",1519,758,352,10,93,226,28
"TR19 7",2595,1139,693,30,258,345,57
"TR2  4",2248,882,715,97,43,392,53
"TR2  5",1955,993,385,178,88,182,39
"TR20 8",1994,878,552,19,153,298,40
"TR20 9",1970,990,561,20,104,214,27
"TR21 0",772,286,87,118,48,143,53
"TR22 0",68,11,7,0,5,23,11
"TR24 0",95,2,0,2,1,15,21
"TR25 0",54,14,5,1,4,23,5
"TR26 1",1821,695,418,51,308,252,33
"TR26 2",2732,1202,719,35,232,423,63
"TR26 3",727,423,193,0,5,79,13
"TR27 4",3130,1221,893,80,430,397,52
"TR27 5",1778,730,535,40,176,171,32
"TR27 6",1351,597,451,9,61,175,29
"TR3  6",3451,1729,992,149,38,420,40
"TR3  7",1966,992,577,78,77,170,24
"TR4  8",2641,1055,862,105,74,431,51
"TR4  9",2020,829,708,82,33,278,43
"TR5  0",1750,809,454,109,45,219,49
"TR6  0",1614,678,458,88,52,256,31
"TR7  1",2771,635,797,37,297,866,88
"TR7  2",3704,1351,1170,75,279,636,102
"TR7  3",2365,806,793,59,192,353,113
"TR8  4",1392,571,411,13,61,235,57
"TR8  5",1882,798,623,60,78,244,37
"TR9  6",3329,1226,1095,71,251,521,75
"TS1  1",130,4,0,8,105,9,0
"TS1  2",551,40,60,55,178,186,14
"TS1  3",1910,316,256,76,289,862,52
"TS1  4",3640,623,574,105,263,1892,96
"TS1  5",783,40,44,219,377,56,6
"TS10 1",3177,964,1048,147,235,679,63
"TS10 2",4586,1567,2198,16,91,527,57
"TS10 3",2422,826,943,80,98,400,38
"TS10 4",3945,916,1032,823,861,226,36
"TS10 5",2075,521,643,357,304,193,30
"TS11 6",1777,897,606,26,44,152,19
"TS11 7",2032,863,642,141,184,155,18
"TS11 8",1588,705,592,25,76,152,20
"TS12 1",2865,1007,857,95,290,536,49
"TS12 2",5480,1746,2035,445,400,716,61
"TS12 3",1635,502,489,176,207,201,29
"TS13 4",3500,1212,914,363,372,552,46
"TS13 5",1088,478,267,51,114,122,25
"TS14 6",3222,934,914,402,367,474,61
"TS14 7",2383,1033,1027,64,44,167,24
"TS14 8",2155,1210,758,13,12,122,17
"TS15 0",1049,538,316,2,40,108,14
"TS15 9",4424,1824,1710,71,214,504,47
"TS16 0",3028,1166,1341,70,72,313,28
"TS16 9",1310,601,490,4,63,121,19
"TS17 0",5626,1704,2849,115,265,565,57
"TS17 5",3452,437,2597,3,9,367,23
"TS17 6",1810,180,370,170,387,645,30
"TS17 7",929,193,260,87,148,220,6
"TS17 8",2565,504,926,482,311,271,47
"TS17 9",3317,832,1036,651,416,289,49
"TS18 1",1114,141,170,163,211,396,15
"TS18 2",1236,100,152,504,280,165,14
"TS18 3",2444,367,748,216,250,765,51
"TS18 4",2589,870,1001,85,247,318,32
"TS18 5",2845,1340,1164,38,75,164,24
"TS19 0",5319,1526,1658,740,632,630,81
"TS19 7",3825,1781,1550,100,114,201,31
"TS19 8",4039,722,1491,847,546,330,57
"TS19 9",2290,374,826,569,252,219,28
"TS2  1",315,19,50,135,50,56,5
"TS20 1",5056,2014,1966,166,269,507,64
"TS20 2",4205,973,1317,553,555,688,63
"TS21 1",1585,625,694,80,41,102,19
"TS21 2",1299,671,430,47,25,103,10
"TS21 3",1358,472,543,93,67,146,15
"TS21 4",1110,302,468,133,71,123,9
"TS22 5",3538,1677,1477,33,49,225,36
"TS23 1",2429,570,950,255,269,332,35
"TS23 2",3236,881,1285,358,191,450,46
"TS23 3",6098,1727,2660,673,377,544,62
"TS23 4",699,163,280,133,48,63,9
"TS24 0",3197,491,652,461,801,692,40
"TS24 7",656,72,68,191,156,143,5
"TS24 8",2713,514,660,432,513,526,24
"TS24 9",3383,767,891,616,754,261,35
"TS25 1",3936,1166,1322,242,654,444,44
"TS25 2",3463,1720,1206,83,197,171,37
"TS25 3",2518,430,673,596,494,259,27
"TS25 4",2556,453,598,670,534,206,27
"TS25 5",4675,1513,1606,332,345,736,62
"TS26 0",5296,1696,2443,220,377,387,35
"TS26 8",2721,630,740,62,338,833,50
"TS26 9",2927,813,1088,46,189,716,33
"TS27 3",2220,780,1071,63,145,118,24
"TS27 4",3147,1135,1049,357,204,319,39
"TS28 5",2259,671,858,412,34,222,24
"TS29 6",2690,754,994,428,212,243,25
"TS3  0",3227,718,849,769,443,315,50
"TS3  6",1498,288,291,89,193,549,24
"TS3  7",2911,579,856,698,403,250,40
